N,Time_Algorithm1,Time_Algorithm2,Time_Algorithm3
2,1.00,0.00,0.00,0.00
4,1.00,0.00,0.00,0.00
6,1.00,0.00,0.00,0.00
8,1.00,0.00,0.00,0.00
10,3.00,0.00,0.00,0.00
12,1.00,0.00,0.00,0.00
14,1.00,0.00,0.00,0.00
16,1.00,0.00,0.00,0.00
18,1.00,0.00,0.00,0.00
20,1.00,0.00,0.00,0.00
22,0.00,0.00,0.00,0.00
24,1.00,0.00,0.00,0.00
26,1.00,0.00,0.00,0.00
28,1.00,0.00,0.00,0.00
30,2.00,0.00,0.00,0.00
