N,Time_Algorithm2,Time_Algorithm3,Time_Algorithm4
1000,785.70,24.80,1.80
2000,3160.20,49.80,3.50
3000,7079.90,78.70,5.20
4000,12520.40,107.40,6.90
5000,18993.10,146.40,8.80
6000,27622.40,153.20,9.50
7000,38380.70,194.90,12.60
8000,48259.00,231.30,16.50
9000,59017.70,249.20,14.10
10000,73893.30,312.60,16.00
